job_id,date,machine_id,model_name,material,layer_height_mm,duration_min,filament_g,cost_fen,status,fail_reason,energy_kwh
J202607-001,2026-07-06,FX-256-01,涡轮叶轮,TPU,0.28,78,18.2,324,fail,悬垂塌陷,0.31
J202607-002,2026-07-08,FX-256-03,行星齿轮,PETG,0.2,54,15.1,158,fail,堵料,0.22
J202607-003,2026-07-09,FX-256-01,涡轮叶轮,TPU,0.2,349,53.2,1000,success,,1.4
J202607-004,2026-07-02,FX-256-02,传感器支架,PETG,0.2,76,23.5,242,fail,悬垂塌陷,0.3
J202607-005,2026-07-09,FX-256-02,传感器支架,PLA,0.2,116,40,327,success,,0.46
J202607-006,2026-07-04,FX-256-03,涡轮叶轮,PLA,0.28,49,22,174,fail,堵料,0.2
J202607-007,2026-07-01,FX-256-04,行星齿轮,PETG,0.12,187,33.6,381,success,,0.75
J202607-008,2026-07-16,FX-256-02,行星齿轮,PETG,0.2,120,33.1,347,success,,0.48
J202607-009,2026-07-15,FX-256-02,传感器支架,PETG,0.2,139,40.2,419,success,,0.56
J202607-010,2026-07-16,FX-256-04,涡轮叶轮,PETG,0.2,197,49.7,529,success,,0.79
J202607-011,2026-07-03,FX-256-02,行星齿轮,PLA,0.28,20,8.6,68,fail,热失控,0.08
J202607-012,2026-07-05,FX-256-02,行星齿轮,PLA,0.2,94,33.7,274,success,,0.38
J202607-013,2026-07-17,FX-256-04,行星齿轮,ABS,0.2,117,33.9,331,success,,0.66
J202607-014,2026-07-02,FX-256-02,行星齿轮,PLA,0.28,73,33.3,262,success,,0.29
J202607-015,2026-07-01,FX-256-04,行星齿轮,ABS,0.2,110,33.8,326,success,,0.62
J202607-016,2026-07-16,FX-256-04,行星齿轮,PLA,0.2,98,35.7,289,success,,0.39
J202607-017,2026-07-01,FX-256-01,涡轮叶轮,PETG,0.12,268,50.1,564,success,,1.07
J202607-018,2026-07-04,FX-256-04,传感器支架,PLA,0.28,84,39.5,310,success,,0.34
J202607-019,2026-07-01,FX-256-02,涡轮叶轮,PLA,0.12,244,51.3,462,success,,0.98
J202607-020,2026-06-29,FX-256-03,传感器支架,TPU,0.2,148,26.6,488,fail,堵料,0.59
J202607-021,2026-07-19,FX-256-04,行星齿轮,PLA,0.2,106,32.8,273,success,,0.42
J202607-022,2026-07-02,FX-256-01,涡轮叶轮,ABS,0.12,178,29.3,328,fail,堵料,1.01
