job_id,date,machine_id,model_name,material,layer_height_mm,duration_min,filament_g,cost_fen,status,fail_reason,energy_kwh
FARM-0001,2026-07-06,FX-500-01,传感器支架,PLA,0.12,35,11,91,success,,0.14
FARM-0002,2026-07-19,FX-220-01,传感器支架,TPU,0.28,5,0.6,12,fail,断料,0.02
FARM-0003,2026-07-19,FX-256-01,传感器支架,PETG,0.2,30,11.8,118,success,,0.12
FARM-0004,2026-07-10,FX-256-03,行星齿轮,PLA,0.2,25,10.3,82,success,,0.1
FARM-0005,2026-07-13,FX-256-01,传感器支架,ABS,0.12,43,9.3,96,success,,0.24
FARM-0006,2026-07-02,FX-256-02,行星齿轮,PLA,0.2,25,10.3,82,success,,0.1
FARM-0007,2026-07-14,FX-256-02,行星齿轮,ABS,0.28,22,9,83,success,,0.12
FARM-0008,2026-07-06,FX-220-02,涡轮叶轮,TPU,0.12,104,12,237,success,,0.42
FARM-0009,2026-07-03,FX-220-02,传感器支架,ABS,0.2,23,7.4,71,fail,悬垂塌陷,0.13
FARM-0010,2026-07-04,FX-220-01,涡轮叶轮,ABS,0.2,36,10.9,105,success,,0.2
FARM-0011,2026-06-29,FX-256-01,行星齿轮,PLA,0.2,4,0.7,7,fail,断料,0.02
FARM-0012,2026-07-02,FX-256-02,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0013,2026-07-13,FX-256-01,传感器支架,ABS,0.12,44,9.3,97,success,,0.25
FARM-0014,2026-06-30,FX-256-02,传感器支架,PETG,0.12,43,11.2,118,success,,0.17
FARM-0015,2026-07-13,FX-256-03,传感器支架,PLA,0.12,33,11,90,success,,0.13
FARM-0016,2026-07-11,FX-256-03,传感器支架,TPU,0.28,41,11.7,204,success,,0.16
FARM-0017,2026-07-16,FX-256-02,行星齿轮,PETG,0.2,29,10.5,106,success,,0.12
FARM-0018,2026-07-05,FX-256-01,传感器支架,PETG,0.28,3,0.7,7,fail,断料,0.01
FARM-0019,2026-07-16,FX-Δ260-01,传感器支架,TPU,0.12,87,10.7,209,success,,0.35
FARM-0020,2026-07-17,FX-256-03,传感器支架,ABS,0.28,22,10.2,92,fail,悬垂塌陷,0.12
FARM-0021,2026-07-15,FX-220-01,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0022,2026-07-07,FX-220-02,涡轮叶轮,ABS,0.2,34,10.9,104,success,,0.19
FARM-0023,2026-07-09,FX-220-01,行星齿轮,PLA,0.2,22,10.3,81,success,,0.09
FARM-0024,2026-07-02,FX-Δ260-01,涡轮叶轮,PLA,0.2,29,12.8,101,success,,0.12
FARM-0025,2026-07-16,FX-256-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0026,2026-07-06,FX-220-01,传感器支架,PLA,0.28,13,9.2,69,fail,悬垂塌陷,0.05
FARM-0027,2026-07-11,FX-256-01,传感器支架,PLA,0.2,2,0.5,4,fail,断料,0.01
FARM-0028,2026-07-06,FX-500-01,行星齿轮,TPU,0.2,43,10,178,success,,0.17
FARM-0029,2026-06-30,FX-220-01,涡轮叶轮,PETG,0.12,2,0,1,fail,堵料,0.01
FARM-0030,2026-07-11,FX-500-01,传感器支架,TPU,0.28,41,11.7,204,success,,0.16
