job_id,date,machine_id,model_name,material,layer_height_mm,duration_min,filament_g,cost_fen,status,fail_reason,energy_kwh
VIDEO-001,2026-07-01,DEMO-CX320-01,涡轮端盖,PLA,0.12,61,15,262,success,,0.34
VIDEO-002,2026-07-01,DEMO-CX320-02,风道转接件,ABS,0.2,48,16.7,252,success,,0.38
VIDEO-003,2026-07-01,DEMO-CX320-03,治具底座,PLA,0.28,44,24.4,298,success,,0.24
VIDEO-004,2026-07-02,DEMO-CX320-01,治具底座,TPU,0.2,64,26.1,619,success,,0.35
VIDEO-005,2026-07-02,DEMO-CX320-02,传感器支架,PETG,0.28,48,21.8,330,success,,0.26
VIDEO-006,2026-07-02,DEMO-CX320-03,涡轮端盖,TPU,0.12,83,23.5,617,success,,0.46
VIDEO-007,2026-07-03,DEMO-CX320-01,涡轮端盖,ABS,0.28,40,25.2,301,success,,0.32
VIDEO-008,2026-07-03,DEMO-CX320-02,风道转接件,PLA,0.12,63,15,267,fail,断料,0.35
VIDEO-009,2026-07-03,DEMO-CX320-03,治具底座,ABS,0.2,50,22.7,306,success,,0.4
VIDEO-010,2026-07-04,DEMO-CX320-01,治具底座,PETG,0.12,67,24.4,400,success,,0.37
VIDEO-011,2026-07-04,DEMO-CX320-02,传感器支架,TPU,0.2,66,20.1,515,success,,0.36
VIDEO-012,2026-07-04,DEMO-CX320-03,涡轮端盖,PETG,0.28,50,21.8,334,success,,0.27
VIDEO-013,2026-07-05,DEMO-CX320-01,涡轮端盖,PLA,0.2,46,23.5,295,success,,0.25
VIDEO-014,2026-07-05,DEMO-CX320-02,风道转接件,ABS,0.28,42,25.2,306,fail,翘边,0.34
VIDEO-015,2026-07-05,DEMO-CX320-03,治具底座,PLA,0.12,65,21,320,success,,0.36
VIDEO-016,2026-07-06,DEMO-CX320-01,治具底座,TPU,0.28,58,22.7,544,success,,0.32
VIDEO-017,2026-07-06,DEMO-CX320-02,传感器支架,PETG,0.12,69,18.4,345,success,,0.38
VIDEO-018,2026-07-06,DEMO-CX320-03,涡轮端盖,TPU,0.2,68,20.1,520,success,,0.37
VIDEO-019,2026-07-07,DEMO-CX320-01,涡轮端盖,ABS,0.12,61,21.8,326,success,,0.49
VIDEO-020,2026-07-07,DEMO-CX320-02,风道转接件,PLA,0.2,48,23.5,300,success,,0.26
VIDEO-021,2026-07-07,DEMO-CX320-03,治具底座,ABS,0.28,44,31.2,359,success,,0.35
VIDEO-022,2026-07-08,DEMO-CX320-01,治具底座,PETG,0.2,52,21,331,success,,0.29
VIDEO-023,2026-07-08,DEMO-CX320-02,传感器支架,TPU,0.28,60,16.7,440,fail,堵料,0.33
VIDEO-024,2026-07-08,DEMO-CX320-03,涡轮端盖,PETG,0.12,71,18.4,349,success,,0.39
VIDEO-025,2026-07-09,DEMO-CX320-01,涡轮端盖,PLA,0.28,40,20.1,254,fail,断料,0.22
VIDEO-026,2026-07-09,DEMO-CX320-02,风道转接件,ABS,0.12,63,21.8,330,success,,0.5
VIDEO-027,2026-07-09,DEMO-CX320-03,治具底座,PLA,0.2,50,29.5,352,success,,0.27
VIDEO-028,2026-07-10,DEMO-CX320-01,治具底座,TPU,0.12,79,31.2,745,success,,0.43
VIDEO-029,2026-07-10,DEMO-CX320-02,传感器支架,PETG,0.2,54,15,276,fail,堵料,0.3
VIDEO-030,2026-07-10,DEMO-CX320-03,涡轮端盖,TPU,0.28,62,16.7,445,success,,0.34
VIDEO-031,2026-07-11,DEMO-CX320-01,涡轮端盖,ABS,0.2,46,18.4,261,success,,0.37
VIDEO-032,2026-07-11,DEMO-CX320-02,风道转接件,PLA,0.28,42,20.1,259,success,,0.23
VIDEO-033,2026-07-11,DEMO-CX320-03,治具底座,ABS,0.12,65,27.8,384,success,,0.52
VIDEO-034,2026-07-12,DEMO-CX320-01,治具底座,PETG,0.28,46,29.5,402,success,,0.25
VIDEO-035,2026-07-12,DEMO-CX320-02,传感器支架,TPU,0.12,81,25.2,643,success,,0.45
VIDEO-036,2026-07-12,DEMO-CX320-03,涡轮端盖,PETG,0.2,56,15,281,fail,断料,0.31
VIDEO-037,2026-07-13,DEMO-CX320-01,涡轮端盖,PLA,0.12,61,16.7,276,success,,0.34
VIDEO-038,2026-07-13,DEMO-CX320-02,风道转接件,ABS,0.2,48,18.4,266,success,,0.38
VIDEO-039,2026-07-13,DEMO-CX320-03,治具底座,PLA,0.28,44,26.1,311,success,,0.24
VIDEO-040,2026-07-14,DEMO-CX320-01,治具底座,TPU,0.2,64,27.8,649,success,,0.35
VIDEO-041,2026-07-14,DEMO-CX320-02,传感器支架,PETG,0.28,48,23.5,347,fail,堵料,0.26
VIDEO-042,2026-07-14,DEMO-CX320-03,涡轮端盖,TPU,0.12,83,25.2,647,success,,0.46
VIDEO-043,2026-07-15,DEMO-CX320-01,涡轮端盖,ABS,0.28,40,15,219,success,,0.32
VIDEO-044,2026-07-15,DEMO-CX320-02,风道转接件,PLA,0.12,63,16.7,281,success,,0.35
VIDEO-045,2026-07-15,DEMO-CX320-03,治具底座,ABS,0.2,50,24.4,319,success,,0.4
VIDEO-046,2026-07-16,DEMO-CX320-01,治具底座,PETG,0.12,67,26.1,417,success,,0.37
VIDEO-047,2026-07-16,DEMO-CX320-02,传感器支架,TPU,0.2,66,21.8,546,success,,0.36
VIDEO-048,2026-07-16,DEMO-CX320-03,涡轮端盖,PETG,0.28,50,23.5,351,success,,0.27
VIDEO-049,2026-07-17,DEMO-CX320-01,涡轮端盖,PLA,0.2,46,25.2,309,success,,0.25
VIDEO-050,2026-07-17,DEMO-CX320-02,风道转接件,ABS,0.28,42,15,224,fail,翘边,0.34
VIDEO-051,2026-07-17,DEMO-CX320-03,治具底座,PLA,0.12,65,22.7,333,success,,0.36
VIDEO-052,2026-07-18,DEMO-CX320-01,治具底座,TPU,0.28,58,24.4,574,success,,0.32
VIDEO-053,2026-07-18,DEMO-CX320-02,传感器支架,PETG,0.12,69,20.1,362,success,,0.38
VIDEO-054,2026-07-18,DEMO-CX320-03,涡轮端盖,TPU,0.2,68,21.8,551,success,,0.37
VIDEO-055,2026-07-19,DEMO-CX320-01,涡轮端盖,ABS,0.12,61,23.5,339,fail,翘边,0.49
VIDEO-056,2026-07-19,DEMO-CX320-02,风道转接件,PLA,0.2,48,25.2,313,success,,0.26
VIDEO-057,2026-07-19,DEMO-CX320-03,治具底座,ABS,0.28,44,21,277,success,,0.35
VIDEO-058,2026-07-20,DEMO-CX320-01,治具底座,PETG,0.2,52,22.7,348,success,,0.29
VIDEO-059,2026-07-20,DEMO-CX320-02,传感器支架,TPU,0.28,60,18.4,471,fail,堵料,0.33
VIDEO-060,2026-07-20,DEMO-CX320-03,涡轮端盖,PETG,0.12,71,20.1,366,success,,0.39
VIDEO-061,2026-07-21,DEMO-CX320-01,涡轮端盖,PLA,0.28,40,21.8,268,success,,0.22
VIDEO-062,2026-07-21,DEMO-CX320-02,风道转接件,ABS,0.12,63,23.5,344,success,,0.5
VIDEO-063,2026-07-21,DEMO-CX320-03,治具底座,PLA,0.2,50,31.2,366,success,,0.27
VIDEO-064,2026-07-22,DEMO-CX320-01,治具底座,TPU,0.12,79,21,562,success,,0.43
VIDEO-065,2026-07-22,DEMO-CX320-02,传感器支架,PETG,0.2,54,16.7,293,success,,0.3
VIDEO-066,2026-07-22,DEMO-CX320-03,涡轮端盖,TPU,0.28,62,18.4,476,success,,0.34
VIDEO-067,2026-07-23,DEMO-CX320-01,涡轮端盖,ABS,0.2,46,20.1,275,success,,0.37
VIDEO-068,2026-07-23,DEMO-CX320-02,风道转接件,PLA,0.28,42,21.8,272,fail,断料,0.23
VIDEO-069,2026-07-23,DEMO-CX320-03,治具底座,ABS,0.12,65,29.5,397,success,,0.52
VIDEO-070,2026-07-24,DEMO-CX320-01,治具底座,PETG,0.28,46,31.2,419,success,,0.25
VIDEO-071,2026-07-24,DEMO-CX320-02,传感器支架,TPU,0.12,81,15,459,success,,0.45
VIDEO-072,2026-07-24,DEMO-CX320-03,涡轮端盖,PETG,0.2,56,16.7,298,success,,0.31
